Datetime,R1,R2,R3,R4,R5,R6
2020-09-06 17:00:00,240.512,29.702,34.301,27.424,11.985,28.129
2020-09-06 18:00:00,241.242,31.514,38.601,28.236,11.289,25.698
2020-09-06 19:00:00,252.444,30.795,42.371,32.483,12.597,33.98
2020-09-06 20:00:00,253.816,31.933,37.422,28.175,12.024,29.967
2020-09-06 21:00:00,250.238,28.372,33.686,23.838,9.657,26.255
2020-09-06 22:00:00,246.542,28.003,32.174,21.32,8.566,21.578
2020-09-06 23:00:00,240.756,28.266,31.493,20.724,9.514,23.202
2020-09-07 00:00:00,231.377,25.181,28.398,17.98,8.456,20.984
2020-09-07 01:00:00,206.779,24.038,25.197,13.822,6.221,17.172
2020-09-07 02:00:00,181.095,24.566,25.863,11.784,3.749,4.674
2020-09-07 03:00:00,174.74,26.415,25.907,12.152,4.511,1.642
2020-09-07 04:00:00,170.159,23.011,19.44,12.434,3.651,1.707
2020-09-07 05:00:00,167.912,19.302,16.244,13.959,3.592,2.028
2020-09-07 06:00:00,185.107,21.01,20.487,15.197,3.901,8.577
2020-09-07 07:00:00,207.063,21.239,24.997,17.55,4.341,16.32
2020-09-07 08:00:00,245.479,25.987,31.828,23.703,7.135,25.205
2020-09-07 09:00:00,257.521,30.294,33.862,26.048,8.906,30.133
2020-09-07 10:00:00,247.173,30.986,34.959,23.967,8.963,27.845
2020-09-07 11:00:00,233.261,29.591,32.327,23.193,8.027,26.135
2020-09-07 12:00:00,236.968,29.016,33.98,24.0,8.65,26.767
2020-09-07 13:00:00,241.539,30.575,35.421,25.507,9.372,29.76
2020-09-07 14:00:00,243.275,32.443,37.951,27.326,10.282,29.539
2020-09-07 15:00:00,243.526,29.805,36.23,24.594,10.706,27.864
2020-09-07 16:00:00,240.145,31.174,34.968,23.862,10.841,27.609
2020-09-07 17:00:00,228.804,29.33,34.036,24.717,8.87,28.749
2020-09-07 18:00:00,233.723,30.092,39.328,30.441,10.958,34.48
2020-09-07 19:00:00,250.718,36.428,43.525,32.59,10.986,35.788
2020-09-07 20:00:00,245.259,32.716,37.739,28.19,10.622,30.069
2020-09-07 21:00:00,244.485,32.54,36.887,24.86,10.589,25.619
2020-09-07 22:00:00,236.12,30.711,33.062,22.363,10.228,23.499
2020-09-07 23:00:00,226.854,29.189,30.964,21.209,8.254,23.795
2020-09-08 00:00:00,220.616,26.844,27.6,17.96,7.047,20.619
2020-09-08 01:00:00,189.342,29.316,27.166,13.351,4.689,17.394
2020-09-08 02:00:00,174.558,24.87,23.563,12.895,4.354,10.727
2020-09-08 03:00:00,156.447,23.484,22.333,11.275,3.101,9.541
2020-09-08 04:00:00,149.856,20.212,16.136,13.274,4.471,4.649
2020-09-08 05:00:00,155.818,20.51,15.692,12.762,4.115,1.312
2020-09-08 06:00:00,172.762,21.657,20.332,15.799,4.065,7.785
2020-09-08 07:00:00,197.559,21.663,24.316,17.909,4.55,15.444
2020-09-08 08:00:00,235.682,28.609,31.587,24.693,7.609,25.147
2020-09-08 09:00:00,252.048,34.022,36.596,27.718,10.409,30.657
2020-09-08 10:00:00,243.91,33.386,36.356,24.725,8.994,28.346
2020-09-08 11:00:00,244.3,33.723,33.511,24.128,9.061,27.048
2020-09-08 12:00:00,247.284,31.994,35.711,25.772,8.966,28.383
2020-09-08 13:00:00,246.922,30.009,37.079,27.884,8.948,29.535
2020-09-08 14:00:00,248.521,31.373,36.478,26.21,9.77,29.482
